Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
Sudan,-0.5185003913142348,-1.2355058555349008,-0.5764481862217035,-0.830899596463016,0.5688520729626815,201
South Africa,-0.5208949133907523,-0.6133787808015756,-0.6823600487623157,0.3053456161495447,-1.0931864401486624,202
India,-0.5284078322213672,-1.1515161977567068,-1.3886632073244332,-0.1949112508220222,0.6214593270176932,203
Lesotho,-0.5600238331475716,-1.3721310047429391,-1.1127769804223575,-0.6090148640204872,0.8538275165954975,204
Russian Federation,-0.5670721428879646,0.3375430055260669,0.25542633387146696,-1.1893527078592616,-1.6719052030901307,205
China,-0.6129212199732481,-0.3731732808341056,-1.0608265087755857,-0.10967618440828097,-0.9080089058750203,206
Turkmenistan,-0.650242433320964,-0.16507917513990467,-0.21244509839490422,-0.23188299368612902,-1.9915624660629179,207
Mongolia,-0.682170230009739,-0.6760299565427744,0.21339313051621076,-0.27869020827387486,-1.9873538857385171,208
Serbia,-0.7246399451793193,0.04219209053398636,-0.6224475915182656,-1.1704452637034604,-1.1478590160295377,209
Kazakhstan,-0.8296742417433862,-0.22795061006427259,0.008404057358633671,-1.303520743307655,-1.7956296709602513,210
