Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
Malawi,0.11950945904231597,-0.8094045556319542,0.2715320491391736,-0.8572119475015625,1.873122290163607,63
Afghanistan,0.014702421264310372,-0.8295724545130911,-0.37398527123870334,-0.6107548793545712,1.873122290163607,98
"Congo, Dem. Rep.",0.10842204552138107,-0.9968201564933985,0.44457673787077734,-0.8871906894554616,1.873122290163607,65
Rwanda,-0.006691953902118908,-0.8141897886405264,-0.5540497781807388,-0.5316505389508178,1.873122290163607,105
Liberia,-0.09400916410875831,-0.9271883620810486,-0.48691781799057615,-0.8350527665270154,1.873122290163607,131
Burundi,-0.10032151132159545,-1.0092806224727437,-0.5166416290508078,-0.7484860839264376,1.873122290163607,134
Solomon Islands,-0.11056087856844282,-0.6161464814181251,-0.7308748994252676,-0.9605117879902397,1.865289654559861,137
Sao Tome and Principe,0.5964139673543012,-0.6341485001154238,1.2872637611469524,-0.12970951593989508,1.8622501243255714,9
Comoros,0.29216003761284426,-0.6251349210112715,0.5012329358176745,-0.5339350559231888,1.826477191568163,37
Kiribati,0.30580010323848794,-0.9118717136848555,0.43488301403759344,-0.1151041664382173,1.8152932790394312,36
