Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
Greenland,0.8133861081851633,0.7387193954642931,1.5042351431955803,1.1695104705487673,-0.1589205764679874,3
Sao Tome and Principe,0.5964139673543012,-0.6341485001154238,1.2872637611469524,-0.12970951593989508,1.8622501243255714,9
Malta,0.3815687973867197,1.0718025266497795,1.181963146762107,-0.44036408084813944,-0.2871264030168683,29
Botswana,-0.10249821441509047,-0.9479826459120975,1.0124180903190094,-0.168986780971994,-0.30544152109527983,135
Suriname,0.018098614934731833,-0.19876112502696658,0.9713959191029472,-0.1353865982460588,-0.5648537360909944,94
Andorra,0.31701034991991944,1.6057710810665986,0.9311016188626114,-0.5611975798196016,-0.7076337204299306,34
Kuwait,0.18516354534933777,0.4373010785939589,0.8718768110337525,-0.5624759152126039,-0.00604779301775636,55
Central African Republic,-0.09451765762914796,-0.7037665610044717,0.8664392782486563,-0.6357404508649802,0.09499710310420374,132
Gabon,-0.07895959022709131,-0.5467817124592145,0.8606144345400703,0.21384522624798824,-0.8435163092372093,129
Seychelles,0.3856612701309419,0.35264919377442216,0.8550265668809172,0.6063525150051301,-0.27138319513670167,28
