Feature,Importance
Unsafe drinking water,0.42287130084609736
Unsafe sanitation,0.4187072008075954
Household solid fuels,0.4010672889611307
Lead exposure,0.3921782819270164
Greenhouse gas emissions per capita,0.35367488261396074
PM2.5 exposure,0.30927519374912177
Recycling,0.2580866400252676
Ozone exposure,0.1650608288921462
Terrestrial biome protection (global weights),0.09326008499583038
Ocean Plastics,0.057794567802484834
Biodiversity Habitat Index,0.04908869144731219
Tree cover loss,0.0461691915217829
SO2 exposure,0.005963168067378732
